State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Haryana,Gurgaon,Farukh Nagar,Wheat,Other,FAQ,02/05/2008,1000,1005,1003,1
Haryana,Gurgaon,Farukh Nagar,Wheat,Other,FAQ,05/05/2008,1000,1030,1015,1
Haryana,Gurgaon,Farukh Nagar,Wheat,Other,FAQ,14/05/2008,1040,1040,1040,1
Haryana,Gurgaon,Farukh Nagar,Wheat,Other,FAQ,08/07/2008,1010,1010,1010,1
Haryana,Gurgaon,Farukh Nagar,Wheat,Other,FAQ,16/01/2015,1461,1461,1461,1
Haryana,Gurgaon,Farukh Nagar,Wheat,Other,FAQ,09/02/2015,1500,1500,1500,1
Haryana,Gurgaon,Farukh Nagar,Wheat,Other,FAQ,28/03/2015,1400,1400,1400,1
Haryana,Gurgaon,Farukh Nagar,Wheat,Other,FAQ,10/09/2015,1450,1450,1450,1
Haryana,Gurgaon,Farukh Nagar,Wheat,Other,FAQ,17/09/2015,1450,1450,1450,1
Haryana,Gurgaon,Farukh Nagar,Wheat,Other,FAQ,09/11/2015,1500,1500,1500,1
Haryana,Gurgaon,Farukh Nagar,Wheat,Other,FAQ,01/12/2015,1400,1550,1400,1
Haryana,Gurgaon,Farukh Nagar,Wheat,Other,FAQ,01/01/2016,1485,1485,1485,1
Haryana,Gurgaon,Farukh Nagar,Wheat,Other,FAQ,05/01/2016,1150,1415,1150,1
Haryana,Gurgaon,Farukh Nagar,Wheat,Other,FAQ,16/01/2016,1500,1500,1500,1
Haryana,Gurgaon,Farukh Nagar,Wheat,Other,FAQ,21/01/2016,1450,1550,1450,1
Haryana,Gurgaon,Farukh Nagar,Wheat,Other,FAQ,06/04/2016,1525,1525,1525,1
Haryana,Gurgaon,Farukh Nagar,Wheat,Other,FAQ,07/04/2016,1525,1525,1525,1
Haryana,Gurgaon,Farukh Nagar,Wheat,Other,FAQ,19/07/2016,1500,1500,1500,1
